"cnpj_basico","nome_fantasia","bairro","telefone_1","telefone_2","correio_eletronico","municipio","codigo","descricao"
"07357385","L & L BOMBONS","ABOLICAO","94711740","","","MOSSORO","4637107","Comщrcio atacadista de chocolates, confeitos, balas, bombons e semelhantes"
"12745527","PETROSAL LTDA","BOM JARDIM","33174106","","MARLIPETROSAL@GMAIL.COM","MOSSORO","3312102","Manutenчуo e reparaчуo de aparelhos e instrumentos de medida, teste e controle"
"07397160","","ALTO DE SAO MANOEL","33121830","","","MOSSORO","6911701","Serviчos advocatэcios"
"02296175","DISK CACAMBA","TIROL","","","","NATAL","8121400","Limpeza em prщdios e em domicэlios"
"07397215","GOLDEN CAPAS","CENTRO","","","","MOSSORO","4783101","Comщrcio varejista de artigos de joalheria"
"07397255","PANIFICADORA SANTA CLARA","CENTRO","96534427","","salinascont@gmail.com.br","ALTO DO RODRIGUES","1091102","Fabricaчуo de produtos de padaria e confeitaria com predominтncia de produчуo prѓpria"
"07397282","","LAGOA DOS CURRAIS","","","","SERRA CAIADA","9430800","Atividades de associaчѕes de defesa de direitos sociais"
"03654905","","SANTO ANTONIO","96075256","","CORUJITOS.PACM@HOTMAIL.COM","MOSSORO","1064300","Fabricaчуo de farinha de milho e derivados, exceto ѓleos de milho"
"06054637","CASA MOREIRA","CENTRO","2231280","","trindade@samnet.com.br","MOSSORO","4755503","Comercio varejista de artigos de cama, mesa e banho"
"07397858","PINHEIRO MOVEIS","POTENGI","88042784","","CLEITON_ALENCAR@HOTMAIL.COM","NATAL","4754701","Comщrcio varejista de mѓveis"
"07398200","KERO ALHO","CENTRO","32832017","","walcyer@uol.com.br","BREJINHO","4639701","Comщrcio atacadista de produtos alimentэcios em geral"
"01655988","","SAO SEBASTIAO","","","","NOVA CRUZ","4632003","Comщrcio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e fщculas, com atividade de fracionamento e acondicionamento associada"
"70097233","","PONTA NEGRA","99838442","","FREIRE.MARCONI@HOTMAIL.COM","NATAL","4613300","Representantes comerciais e agentes do comщrcio de madeira, material de construчуo e ferragens"
"07399101","","LAGOA NOVA","","","","NATAL","4752100","Comщrcio varejista especializado de equipamentos de telefonia e comunicaчуo"
"03300220","ESQUINAO DAS BATERIAS","GANCHO","","","","SAO GONCALO DO AMARANTE","4530703","Comщrcio a varejo de peчas e acessѓrios novos para veэculos automotores"
"01652415","SAFE CORRETORA DE SEGUROS","MAE LUIZA","88160858","","SAFE.SEGUROSRN@GMAIL.COM","NATAL","6622300","Corretores e agentes de seguros, de planos de previdъncia complementar e de saњde"
"01652431","CODORGRANJA","ZONA RURAL","","","","MOSSORO","0155501","Criaчуo de frangos para corte"
"03300600","","CENTRO","","","","CAICO","8512100","Educaчуo infantil - prщ-escola"
"01653037","DISPARATT MODAS","CENTRO","","","","MONTANHAS","4781400","Comщrcio varejista de artigos do vestuсrio e acessѓrios"
"01653049","LIMA & DIAS","ZONA RURAL","94144337","","","GOIANINHA","0161099","Atividades de apoio р agricultura nуo especificadas anteriormente"
"03301395","SAMYA MODAS","CENTRO","2412285","","","CANGUARETAMA","4755502","Comercio varejista de artigos de armarinho"
"04945781","GEORGE'S CABELEIREIRO","TIROL","","","","NATAL","9602501","Cabeleireiros, manicure e pedicure"
"04945857","T & T REPRESENTACOES","NOVA PARNAMIRIM","","","","PARNAMIRIM","4619200","Representantes comerciais e agentes do comщrcio de mercadorias em geral nуo especializado"
"04942458","AOS SERVICOS DE LIMPESA URBANA","CENTRO","","","","MACAIBA","3811400","Coleta de resэduos nуo-perigosos"
"04942774","BUBBA'S","CANDELRIA","2344637","","","NATAL","5611201","Restaurantes e similares"
"04942886","COMERCIAL POTENGI","PAJUSSARA","91142961","91114296","comercialcadu@bol.com.br","NATAL","4530703","Comщrcio a varejo de peчas e acessѓrios novos para veэculos automotores"
"01655294","","CENTRO","5322025","","","LAJES","8711502","Instituiчѕes de longa permanъncia para idosos"
"01655715","","ZONA RURAL","","","","LAJES","8711502","Instituiчѕes de longa permanъncia para idosos"
"03306516","ALIANCA COMERCIO E SERVICOS","BOM PASTOR","","","","NATAL","4744099","Comщrcio varejista de materiais de construчуo em geral"
"03306671","VALE VERDE","PRAIA DE CACIMBINHA","","","","TIBAU DO SUL","5510801","Hotщis"
"04947968","APRENDER","AEROPORTO","96245688","","WICOFJR@HOTMAIL.COM","MOSSORO","8531700","Educaчуo superior - graduaчуo"
"03307236","","CENTRO","","","","GROSSOS","4723700","Comщrcio varejista de bebidas"
"03308445","CEREALISTA SAO JOSE","AEROPORTO","3161038","","","MOSSORO","4693100","Comщrcio atacadista de mercadorias em geral, sem predominтncia de alimentos ou de insumos agropecuсrios"
"01660161","SOMOTORES","DIX-SEPT ROSADO","","","","NATAL","4520001","Serviчos de manutenчуo e reparaчуo mecтnica de veэculos automotores"
"03308518","AVENTUREIROS DO ASFALTO","POTENGI","2145722","","","NATAL","9430800","Atividades de associaчѕes de defesa de direitos sociais"
